출판사명,레이블명,분야,출처,비고
씨에스케이,씨에스케이,일반단행본,기존(0615),
씨에스케이,월드미디어포럼,장르소설,기존(0615),
아이웰콘텐츠,낭추,장르소설,기존(0615),
아이웰콘텐츠,비티타임즈,일반단행본,기존(0615),
아이웰콘텐츠,아이웰콘텐츠,일반단행본,기존(0615),
아이웰콘텐츠,엘블링,장르소설,기존(0615),
아토북,아토북,,본부장확인(0721),
아토북,아토북(Atto Book),,본부장확인(0721),
아트펍,아트펍,,본부장확인(0721),
알에스미디어,알에스매니지먼트,일반단행본,기존(0615),
알에스미디어,알에스미디어,장르소설,기존(0615),
애니툰,애니툰,장르소설,기존(0615),
어나더,폴링인북스,장르소설,기존(0615),
에브리웨이,에브리나인,장르소설,기존(0615),
에브리웨이,에브리리베,장르소설,기존(0615),
에브리웨이,에브리북,장르소설,기존(0615),
에브리웨이,에브리웨이,,본부장확인(0721),
에이엠미디어,한낮,,본부장확인(0721),
에이피북스,Red Cat,,본부장확인(0721),
에이피북스,red cat,,본부장확인(0721),
에필로그,글누림,장르소설,기존(0615),
에필로그,에필로그,장르소설,기존(0615),
엔리즈,엔리즈,,본부장확인(0721),
엔리즈,주식회사 엔리즈,,본부장확인(0721),
엔릿미디어,다크하우스,장르소설,기존(0615),
엔릿미디어,다하,,본부장확인(0721),
엔릿미디어,라이트하우스,장르소설,기존(0615),
엔릿미디어,라하,장르소설,기존(0615),
엔블록,방아간,장르소설,기존(0615),
엔블록,벨아모르,장르소설,기존(0615),
엔블록,엔블록,장르소설,기존(0615),
엔블록,이쪽소녀,장르소설,기존(0615),
영상노트,X-media,장르소설,기존(0615),
영상노트,Xmedia,장르소설,기존(0615),
영상노트,굠굠코믹스,만화,기존(0615),
영상노트,나이트노벨,장르소설,기존(0615),
영상노트,노블엔진,장르소설,기존(0615),
영상노트,노블엔진 팝,장르소설,기존(0615),
영상노트,돌체,장르소설,기존(0615),
영상노트,루체,장르소설,기존(0615),
영상노트,루체코믹스,만화,기존(0615),
영상노트,리체,장르소설,기존(0615),
영상노트,리체코믹스,만화,기존(0615),
영상노트,바닐라,장르소설,기존(0615),
영상노트,시폰,장르소설,기존(0615),
영상노트,영상노트,일반단행본,기존(0615),
영상노트,체리티노블,장르소설,기존(0615),
영상노트,코믹 레인,만화,기존(0615),
영상노트,피아체,장르소설,기존(0615),
예원북스,LINE,장르소설,기존(0615),
예원북스,메르헨 코믹스,만화,기존(0615),
예원북스,메르헨노블,장르소설,기존(0615),
예원북스,메르헨코믹스,만화,기존(0615),
예원북스,아인(AIN),장르소설,기존(0615),
오늘은북스,오늘은북스,,본부장확인(0721),
오쉬컴퍼니,오쉬컴퍼니,,본부장확인(0721),
오쉬컴퍼니,팀오쉬,장르소설,기존(0615),
와이엠북스,뉴콕,장르소설,기존(0615),
와이엠북스,와이엠북스,,본부장확인(0721),
와이엠북스,은밀한상상,,본부장확인(0721),
와이엠북스,콕테일,,본부장확인(0721),
와이엠북스,티파티,장르소설,기존(0615),
웅진씽크빅,ARC,장르소설,기존(0615),
웅진씽크빅,달밤,,본부장확인(0721),
웅진씽크빅,사막여우,,본부장확인(0721),
웅진씽크빅,야간비행,,본부장확인(0721),
위북,위북,일반단행본,기존(0615),
위북(WeBook),위북(WeBook),일반단행본,기존(0615),
위브랩,블랙릴리,,본부장확인(0721),
위즈덤커넥트,아이보리잉크,,본부장확인(0721),
위즈덤커넥트,애쉬그레이,장르소설,기존(0615),
위즈덤커넥트,위즈덤커넥트,일반단행본,기존(0615),
위즈덤커넥트,젤라빈,,본부장확인(0721),
위즈덤커넥트,젤리빈,장르소설,기존(0615),
위즈덤하우스,위즈덤하우스,장르소설,기존(0615),
위즈덤하우스,인앤아웃,장르소설,기존(0615),
위즈덤하우스,잇다,장르소설,기존(0615),
위즈덤하우스,틴케이스,장르소설,기존(0615),
유피미디어,책읽는여우,일반단행본,기존(0615),
율리시즈,민들레북,,본부장확인(0721),
율리시즈,율리시즈,일반단행본,기존(0615),
이스토리아,이스토리아,,본부장확인(0721),
이야기들,레이디가넷,장르소설,기존(0615),
이야기들,비터애플,장르소설,기존(0615),
이야기들,이야기 들,장르소설,기존(0615),
이플북스,에오스,,본부장확인(0721),
이플북스,플로라,,본부장확인(0721),
인디페이퍼,인디페이퍼,장르소설,기존(0615),
인타임,인타임,장르소설,기존(0615),
읽을레오,읽을레오,,본부장확인(0721),
잉크어스,잉크어스,,본부장확인(0721),
작가정신,작가정신,만화,기존(0615),
작가컴퍼니,JC미디어,장르소설,기존(0615),
작가컴퍼니,JK미디어,장르소설,본부장확인(0615충돌해소),기존=JK미디어
작가컴퍼니,로제토,장르소설,기존(0615),
작가컴퍼니,블랙로즈,,본부장확인(0721),
작가컴퍼니,작가컴퍼니,,본부장확인(0721),
작은우주,북아지트,일반단행본,기존(0615),
정씨책방,리플레이,일반단행본,기존(0615),
정씨책방,정씨책방,오디오북,기존(0615),
정씨책방,책비,오디오북,기존(0615),
조은세상,조은세상,장르소설,기존(0615),
주은,주은출판사,,본부장확인(0721),
주은출판사,주은,장르소설,기존(0615),
지심미디어,밤새던,,본부장확인(0721),
지심미디어,빛나던,,본부장확인(0721),
채음,만일야화B,,본부장확인(0721),
채음,만일야화R,,본부장확인(0721),
채음,채음,,본부장확인(0721),
책들의정원,부커,일반단행본,기존(0615),
책들의정원,책들의 정원,일반단행본,기존(0615),
책들의정원,책들의정원,일반단행본,기존(0615),
책들의정원,페이퍼버드,일반단행본,기존(0615),
책들의정원,피오르드,일반단행본,기존(0615),
첫문장,첫문장,,본부장확인(0721),
청어람,누보로망,,본부장확인(0721),
청어람,청어람,,본부장확인(0721),
청어람,청어람출판사,,본부장확인(0721),
칠월토끼,칠월토끼,,본부장확인(0721),
캔미디어,CANMEDIA,장르소설,기존(0615),
캔미디어,캔미디어,장르소설,기존(0615),
케이너스랩,YAMANCE,,본부장확인(0721),
케이너스랩,블랙북,장르소설,기존(0615),
케이너스랩,야맨스,,본부장확인(0721),
케이너스랩,케이너스랩,장르소설,기존(0615),
코핀커뮤니케이션즈,델피뉴,장르소설,기존(0615),
코핀커뮤니케이션즈,코핀 커뮤니케이션즈,장르소설,기존(0615),
코핀커뮤니케이션즈,크로커스,장르소설,기존(0615),
코핀커뮤니케이션즈,튜베로사,장르소설,기존(0615),
코핀커뮤니케이션즈,페로체,장르소설,기존(0615),
키다리스튜디오,styleB,장르소설,기존(0615),
키다리스튜디오,포텐,장르소설,기존(0615),
키다리스튜디오,프로무림,장르소설,기존(0615),
테라핀,이지콘텐츠,,본부장확인(0721),
테라핀,일랑,,본부장확인(0721),
테라핀,코핀북스,,본부장확인(0721),
토네이도,심야책방,일반단행본,기존(0615),
툰플러스,툰플러스,장르소설,기존(0615),
팀씨에스피에스피,하이북,장르소설,기존(0615),
파란미디어,새파란상상,,본부장확인(0721),
파란미디어,파란,,본부장확인(0721),
파란미디어,파란미디어,,본부장확인(0721),
파란미디어,파란썸,,본부장확인(0721),
패러그래프,패러그래프,,본부장확인(0721),
페퍼민트,딜(Dill),장르소설,기존(0615),
페퍼민트,민트BL,장르소설,기존(0615),
