label_resolved,settle,works,plats
차 비서가 탐나면 2(완결),2805.0,1,1
월하정인 2,2805.0,1,1
월하정인 1,2805.0,1,1
후후,2800.0,1,1
도련님의 아이 1,2800.0,1,1
귀찮은 주치의에게 스며들 때 2,2800.0,1,1
홀리는 밤의 사정 2(완결),2800.0,1,1
홀리는 밤의 사정 1,2800.0,1,1
저질 상사한테 당하다,2750.0,1,1
무당전생 10,2720.0,1,1
철혈검신 4,2720.0,1,1
수라왕 15,2720.0,1,1
그로스 언리미티드 4,2720.0,1,1
수라왕 14,2720.0,1,1
그로스 언리미티드 3,2720.0,1,1
수라왕 13,2720.0,1,1
수라왕 12,2720.0,1,1
그로스 언리미티드 2,2720.0,1,1
수라왕 11,2720.0,1,1
수라왕 10,2720.0,1,1
철혈검신 7,2720.0,1,1
철혈검신 6,2720.0,1,1
철혈검신 5,2720.0,1,1
풍운강호 8(완결),2720.0,1,1
풍운강호 4,2720.0,1,1
철혈검신 3,2720.0,1,1
풍운강호 7,2720.0,1,1
풍운강호 6,2720.0,1,1
무당전생 6,2720.0,1,1
철혈검신 2,2720.0,1,1
그로스 언리미티드 1,2720.0,1,1
무당전생 7,2720.0,1,1
무당전생 8,2720.0,1,1
군림마도 2,2720.0,1,1
흡혈왕 바하문트 5,2720.0,1,1
장인전생 7,2720.0,1,1
무당전생 9,2720.0,1,1
풍운강호 5,2720.0,1,1
장인전생 8,2720.0,1,1
그로스 언리미티드 5,2720.0,1,1
장인전생 2,2720.0,1,1
흡혈왕 바하문트 3,2720.0,1,1
리턴 1,2720.0,1,1
나는 헌터가 싫다 2,2720.0,1,1
그로스 언리미티드 6(완결),2720.0,1,1
나는 헌터가 싫다 4,2720.0,1,1
흡혈왕 바하문트 2,2720.0,1,1
흡혈왕 바하문트 1,2720.0,1,1
독왕전설 8(완결),2720.0,1,1
장인전생 3,2720.0,1,1
리턴 3,2720.0,1,1
화산전생 11,2720.0,1,1
화산전생 12,2720.0,1,1
화산전생 13,2720.0,1,1
화산전생 14,2720.0,1,1
나는 헌터가 싫다 3,2720.0,1,1
장인전생 4,2720.0,1,1
장인전생 5,2720.0,1,1
장인전생 6,2720.0,1,1
리턴 2,2720.0,1,1
수라왕 16,2720.0,1,1
리턴 4,2720.0,1,1
수라왕 6,2720.0,1,1
사야지존 6,2720.0,1,1
수라왕 9,2720.0,1,1
리턴 5,2720.0,1,1
수라왕 17(완결),2720.0,1,1
흡혈왕 바하문트 4,2720.0,1,1
수라왕 7,2720.0,1,1
리턴 6(완결),2720.0,1,1
수라왕 8,2720.0,1,1
신이 내린 투자 천재 5,2700.0,2,1
신이 내린 투자 천재 2,2700.0,2,1
탐닉의 계절 1,2700.0,1,1
천마본기 6,2700.0,1,1
용을 삼킨 검 5,2700.0,2,1
용을 삼킨 검 7,2700.0,1,1
용을 삼킨 검 6,2700.0,2,1
용을 삼킨 검 4,2700.0,2,1
재벌 매니저는 조용히 살고 싶다 6,2700.0,2,1
용을 삼킨 검 13(완결),2700.0,2,1
탐닉의 계절 2(완결),2700.0,1,1
망한 결혼 다시 보기 1,2700.0,1,1
천하제일인 환생했다 2,2700.0,2,1
재벌 사위 말고 재벌 하겠습니다 5,2700.0,2,1
비엔비컴퍼니,2653.0,7,5
당신이 버린 아이 1,2635.0,1,1
독점욕 외전,2600.0,1,1
밤의 포식자,2550.0,1,1
인생 2회차 철종의 슬기로운 정복생활 6,2550.0,1,1
인생 2회차 철종의 슬기로운 정복생활 3,2550.0,1,1
짜릿한 회귀로 역대급 재벌! 4,2550.0,1,1
인생 2회차 철종의 슬기로운 정복생활 7,2550.0,1,1
인생 2회차 철종의 슬기로운 정복생활 2,2550.0,1,1
인생 2회차 철종의 슬기로운 정복생활 8(완결),2550.0,1,1
짜릿한 회귀로 역대급 재벌! 3,2550.0,1,1
짜릿한 회귀로 역대급 재벌! 2,2550.0,1,1
공작님과 이러면 안 되는 걸 알지만 5(완결),2550.0,1,1
미국 로또로 역대급 재벌! 10(완결),2550.0,1,1
공작님과 이러면 안 되는 걸 알지만 4,2550.0,1,1
공작님과 이러면 안 되는 걸 알지만 3,2550.0,1,1
공작님과 이러면 안 되는 걸 알지만 2,2550.0,1,1
완벽한 소유 1,2550.0,1,1
쓰레기의 취향 2(완결),2550.0,1,1
미국 로또로 역대급 재벌! 9,2550.0,1,1
미국 로또로 역대급 재벌! 8,2550.0,1,1
공작님과 이러면 안 되는 걸 알지만 1,2550.0,1,1
미국 로또로 역대급 재벌! 5,2550.0,1,1
미국 로또로 역대급 재벌! 6,2550.0,1,1
미국 로또로 역대급 재벌! 7,2550.0,1,1
"삼국지 : 유비의 책사, 천하를 삼키다. 2",2550.0,1,1
"삼국지 : 유비의 책사, 천하를 삼키다. 3",2550.0,1,1
배파,2520.0,1,1
만일야화R,2520.0,1,1
좀비의 왕 2,2500.0,1,1
더 색,2450.0,1,1
"넌 항상 날, 쉽게 버려 1",2400.0,1,1
수치스러운 밤 2,2380.0,1,1
수치스러운 밤 3(완결),2380.0,1,1
응! 니 남편이 더 잘 해!,2322.0,1,1
주인공의 곧 죽을 엄마입니다 2,2300.0,1,1
황리비가 상,2295.0,1,1
황리비가 하(완결),2295.0,1,1
어차피 사랑 3(완결),2100.0,1,1
"해요, 나쁜 짓 4(완결)",2070.0,1,1
"해요, 나쁜 짓 3",2070.0,1,1
"해요, 나쁜 짓 2",2070.0,1,1
MeGa,2030.0,6,3
너무 큰 아들친구,2022.0,1,1
정말 힘들게 따먹었다,2000.0,1,1
어린 여자 벗기는 법,2000.0,1,1
빈백바스켓,1960.0,2,2
은밀한 사정 3(완결),1955.0,1,1
은밀한 사정 2,1955.0,1,1
은밀한 사정 1,1955.0,1,1
감각 오류 (외전),1925.0,2,1
소문난 아저씨 [외전],1900.0,1,1
한결미디어,1890.0,3,2
에브리웨이,1890.0,1,1
엘리제의 보충 수업 1,1850.0,2,1
재벌 매니저는 조용히 살고 싶다 7(완결),1800.0,2,1
천마본기 7,1800.0,1,1
학사 김필도 2,1800.0,1,1
신이 내린 투자 천재 7,1800.0,2,1
신이 내린 투자 천재 6,1800.0,2,1
신이 내린 투자 천재 4,1800.0,1,1
신이 내린 투자 천재 3,1800.0,1,1
천하제일인 환생했다 3,1800.0,2,1
천마본기 8(완결),1800.0,1,1
학사 김필도 3,1800.0,1,1
학사 김필도 4,1800.0,1,1
아무것도 아닌 네가 1,1800.0,1,1
용을 삼킨 검 3,1800.0,2,1
천마본기 5,1800.0,1,1
천마본기 4,1800.0,1,1
천마본기 3,1800.0,1,1
천마본기 2,1800.0,1,1
닉네임 좀비헌터 2,1800.0,1,1
파란,1680.0,1,1
한낮,1540.0,1,1
의붓딸 성교육 시키기,1522.0,1,1
알몸의 처형,1522.0,1,1
남의 아내를 맛보다,1505.0,1,1
세러피스트 외전,1500.0,1,1
의붓아들 그놈,1449.0,1,1
mega,1400.0,1,2
늪,1344.0,2,1
창작집단 뻘,1073.44,2,2
썰,1050.0,2,1
혜리썸,1050.0,1,1
치명적인 여친엄마,1000.0,1,1
도련님이랑 하면 어때서,1000.0,1,1
역전의 순간 (외전),1000.0,1,1
아버님이 교육하는 첫날밤. 1,1000.0,1,1
사생아 황녀는 매일 밤 2(완결),1000.0,1,1
"장모님, 한 번만 대주세요 2",1000.0,1,1
아버님이 교육하는 첫날밤. 4,1000.0,1,1
아버님이 교육하는 첫날밤. 2,1000.0,1,1
아버님이 교육하는 첫날밤. 3,1000.0,1,1
귀환 헌터 5,1000.0,1,1
아버님이 교육하는 첫날밤. 외전 (2부),1000.0,1,1
"옆집 아저씨, 제 수갑 좀 풀어 주세요",1000.0,1,1
아버님이 교육하는 첫날밤. 5,1000.0,1,1
아버님이 교육하는 첫날밤. 6,1000.0,1,1
지배 욕구 (외전),990.0,1,1
주식회사 엔리즈,980.0,1,1
내 아들의 몹쓸 짓,949.0,1,1
나 빼고 먼치킨 6,900.0,1,1
나 빼고 먼치킨 5,900.0,1,1
나 빼고 먼치킨 7,900.0,1,1
나 빼고 먼치킨 4,900.0,1,1
나 빼고 먼치킨 3,900.0,1,1
닉네임 좀비헌터 10,900.0,1,1
나 빼고 먼치킨 2,900.0,1,1
학사 김필도 7,900.0,1,1
하오대문 8,900.0,1,1
하오대문 9,900.0,1,1
광풍무 4,900.0,1,1
불과 달의 노래 4,900.0,1,1
광풍무 3,900.0,1,1
학사 김필도 5,900.0,1,1
학사 김필도 6,900.0,1,1
학사 김필도 8,900.0,1,1
금검혈도 1,900.0,1,1
학사 김필도 9(완결),900.0,1,1
불과 달의 노래 3,900.0,1,1
광풍무 2,900.0,1,1
불과 달의 노래 2,900.0,1,1
