유형,label_resolved,출판사(입력),settle,works,plats,유통사(정산액순),대표원본파일
단독출판사,케이너스랩,케이너스랩,52857,9,0,네이버시리즈·카카오페이지·교보문고·판무림·미소설 외4곳 [9곳],네이버 4월.xls
검토대상,이지콘텐츠,테라핀,118125,28,0,신영미디어·미소설·하이북·미노벨 [4곳],신영미디어 26년 2월.xls
검토대상,일랑,테라핀,10360,8,0,신영미디어·미소설 [2곳],신영미디어 26년 3월.xls
검토대상,코핀북스,테라핀,5320,2,0,하이북 [1곳],하이북 1월.xls
검토대상,새파란상상,파란미디어,10605,2,0,애니툰 [1곳],애니툰 26년 2월.xlsx
검토대상,파란,파란미디어,1680,1,0,피우리 [1곳],피우리_정산_202603.xlsx
검토대상,파란미디어,파란미디어,102172,28,0,피우리·애니툰·큐툰 [3곳],피우리_정산_202601.xlsx
검토대상,파란썸,파란미디어,4949,1,0,애니툰 [1곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
검토대상,패러그래프,패러그래프,971040,12,0,모픽·신영미디어·로망띠끄(단행본) [3곳],모픽_작품별_정산_202602.xlsx
단독출판사,페퍼민트,페퍼민트,300972,65,0,피우리·로망띠끄(단행본)·애니툰·미소설·하이북 외1곳 [6곳],피우리_정산_202604.xlsx
검토대상,펜드라마,펜드라마,465342,2,0,하이북·무툰·판무림·원스토리·미소설 외4곳 [9곳],하이북 1월.xls
검토대상,고트북스,플로린,259736,26,0,애니툰·원스토리·블라이스·피우리·신영미디어 외6곳 [11곳],애니툰 26년 3월.xlsx
